Approach,Target A (%),Target B (%),Target C (MAE),Training Time (s),Epochs
Frequency Domain (original),34.166666666666664,7.166666666666667,0.09526247531175613,236.99759340286255,43
Spatial Domain (inverse FFT),10.333333333333334,2.166666666666667,0.2487303614616394,88.37840723991394,15
