Batch Size,Target A (%),Target B (%),Target C (MAE),Time (s),Epochs,Updates/Epoch
32,38.166666666666664,4.666666666666667,0.09453137218952179,354.03577995300293,54,75
16,33.0,5.333333333333334,0.09735014289617538,322.15906405448914,42,150
64,29.5,6.5,0.10434634238481522,448.39330220222473,66,37
