Model,Target A,Target B,Target C,Epochs,Time (s)
Baseline,38.166666666666664,4.666666666666667,0.09453137218952179,54,354.03577995300293
Exp 1: Bigger B,35.66666666666667,6.0,0.09896766394376755,45,286.6410403251648
Exp 2: Weight 2.5,34.5,6.666666666666667,0.09646591544151306,39,272.73065304756165
Exp 3: Combined,27.500000000000004,6.5,0.09394426643848419,71,491.12915802001953
