model,seed,target_a,target_b,target_c,epochs,time
Baseline (best single),42,38.166666666666664,4.666666666666667,0.09453137218952179,54,354.03577995300293
Model 1 (seed=42),42,33.0,4.666666666666667,0.09777205437421799,37,282.59585428237915
Model 2 (seed=123),123,32.0,6.666666666666667,0.10746779292821884,36,273.46142053604126
Model 3 (seed=999),999,31.833333333333336,5.5,0.09841708093881607,33,281.72134709358215
ENSEMBLE (Average),N/A,34.166666666666664,4.833333333333333,0.09415552020072937,N/A,837.7786219120026
